nivel,metodo,heuristica,deadlocks,corrida,orden_sucesores,exito,motivo_fin,costo,empujes,nodos_expandidos,nodos_generados,frontera_maxima,frontera_final,estados_visitados,memoria_maxima,tiempo_s
n3_caminata,BFS,—,completo,1,—,True,meta,104,22,1816,4353,79,9,1826,1836,0.006
n3_caminata,BFS,—,completo,2,—,True,meta,104,22,1816,4353,79,9,1826,1836,0.006
n3_caminata,BFS,—,completo,3,—,True,meta,104,22,1816,4353,79,9,1826,1836,0.006
n3_caminata,BFS,—,completo,4,—,True,meta,104,22,1816,4353,79,9,1826,1836,0.006
n3_caminata,BFS,—,completo,5,—,True,meta,104,22,1816,4353,79,9,1826,1836,0.006
n4_matching,BFS,—,ninguno,1,—,True,meta,70,22,654260,1728078,21345,8508,662769,671278,3.228
n4_matching,BFS,—,ninguno,2,—,True,meta,70,22,654260,1728078,21345,8508,662769,671278,3.397
n4_matching,BFS,—,ninguno,3,—,True,meta,70,22,654260,1728078,21345,8508,662769,671278,3.245
n4_matching,BFS,—,ninguno,4,—,True,meta,70,22,654260,1728078,21345,8508,662769,671278,3.351
n4_matching,BFS,—,ninguno,5,—,True,meta,70,22,654260,1728078,21345,8508,662769,671278,3.390
n4_matching,BFS,—,estaticos,1,—,True,meta,70,22,73813,190358,2436,1063,74877,75941,0.301
n4_matching,BFS,—,estaticos,2,—,True,meta,70,22,73813,190358,2436,1063,74877,75941,0.314
n4_matching,BFS,—,estaticos,3,—,True,meta,70,22,73813,190358,2436,1063,74877,75941,0.285
n4_matching,BFS,—,estaticos,4,—,True,meta,70,22,73813,190358,2436,1063,74877,75941,0.285
n4_matching,BFS,—,estaticos,5,—,True,meta,70,22,73813,190358,2436,1063,74877,75941,0.308
n4_matching,BFS,—,congelados,1,—,True,meta,70,22,214466,555854,6552,3321,217788,221110,1.073
n4_matching,BFS,—,congelados,2,—,True,meta,70,22,214466,555854,6552,3321,217788,221110,1.036
n4_matching,BFS,—,congelados,3,—,True,meta,70,22,214466,555854,6552,3321,217788,221110,1.024
n4_matching,BFS,—,congelados,4,—,True,meta,70,22,214466,555854,6552,3321,217788,221110,1.014
n4_matching,BFS,—,congelados,5,—,True,meta,70,22,214466,555854,6552,3321,217788,221110,1.027
n4_matching,BFS,—,completo,1,—,True,meta,70,22,60410,155205,2028,947,61358,62306,0.251
n4_matching,BFS,—,completo,2,—,True,meta,70,22,60410,155205,2028,947,61358,62306,0.249
n4_matching,BFS,—,completo,3,—,True,meta,70,22,60410,155205,2028,947,61358,62306,0.251
n4_matching,BFS,—,completo,4,—,True,meta,70,22,60410,155205,2028,947,61358,62306,0.266
n4_matching,BFS,—,completo,5,—,True,meta,70,22,60410,155205,2028,947,61358,62306,0.249
n5_limite,BFS,—,ninguno,1,—,True,meta,306,99,2028239,5010835,20365,229,2028469,2028699,10.772
n5_limite,BFS,—,ninguno,2,—,True,meta,306,99,2028239,5010835,20365,229,2028469,2028699,11.073
n5_limite,BFS,—,ninguno,3,—,True,meta,306,99,2028239,5010835,20365,229,2028469,2028699,10.841
n5_limite,BFS,—,ninguno,4,—,True,meta,306,99,2028239,5010835,20365,229,2028469,2028699,10.792
n5_limite,BFS,—,ninguno,5,—,True,meta,306,99,2028239,5010835,20365,229,2028469,2028699,11.005
n5_limite,BFS,—,estaticos,1,—,True,meta,306,99,608999,1506359,6106,143,609143,609287,2.695
n5_limite,BFS,—,estaticos,2,—,True,meta,306,99,608999,1506359,6106,143,609143,609287,2.654
n5_limite,BFS,—,estaticos,3,—,True,meta,306,99,608999,1506359,6106,143,609143,609287,2.729
n5_limite,BFS,—,estaticos,4,—,True,meta,306,99,608999,1506359,6106,143,609143,609287,2.616
n5_limite,BFS,—,estaticos,5,—,True,meta,306,99,608999,1506359,6106,143,609143,609287,2.704
n5_limite,BFS,—,congelados,1,—,True,meta,306,99,508669,1258136,5509,99,508769,508869,2.372
n5_limite,BFS,—,congelados,2,—,True,meta,306,99,508669,1258136,5509,99,508769,508869,2.352
n5_limite,BFS,—,congelados,3,—,True,meta,306,99,508669,1258136,5509,99,508769,508869,2.333
n5_limite,BFS,—,congelados,4,—,True,meta,306,99,508669,1258136,5509,99,508769,508869,2.315
n5_limite,BFS,—,congelados,5,—,True,meta,306,99,508669,1258136,5509,99,508769,508869,2.299
n5_limite,BFS,—,completo,1,—,True,meta,306,99,429817,1064551,4917,99,429917,430017,1.949
n5_limite,BFS,—,completo,2,—,True,meta,306,99,429817,1064551,4917,99,429917,430017,1.953
n5_limite,BFS,—,completo,3,—,True,meta,306,99,429817,1064551,4917,99,429917,430017,1.990
n5_limite,BFS,—,completo,4,—,True,meta,306,99,429817,1064551,4917,99,429917,430017,2.020
n5_limite,BFS,—,completo,5,—,True,meta,306,99,429817,1064551,4917,99,429917,430017,1.878
n1_micro,DFS,—,completo,1,UDLR,True,meta,8,5,18,45,7,5,24,30,0.000
n1_micro,DFS,—,completo,1,UDRL,True,meta,8,5,18,45,7,5,24,30,0.000
n1_micro,DFS,—,completo,1,ULDR,True,meta,8,5,12,29,7,6,19,26,0.000
n1_micro,DFS,—,completo,1,ULRD,True,meta,8,5,12,29,7,6,19,26,0.000
